player_id,position_name,age,v_burst_0_10,v_accel_10_45,v_top_45_90,runner_runs_tot,rate_att_xb,rate_safe,n_sb,n_cs,sb_attempts,sb_success_rate
682928,SS,25,12.048192771084338,23.972602739726028,29.03225806451613,2.1354165326534824,0.404040404040404,0.3939393939393938,15,3,18,0.8333333333333334
677800,RF,27,11.627906976744185,23.64864864864865,28.846153846153847,-1.0827949640072785,0.2837837837837838,0.2702702702702702,6,3,9,0.6666666666666666
660670,RF,28,11.627906976744185,23.64864864864865,28.301886792452827,0.7214799871124814,0.3859649122807018,0.3859649122807018,13,4,17,0.7647058823529411
642715,SS,30,11.363636363636363,22.87581699346405,28.125000000000007,-2.1090947251727914,0.3548387096774193,0.3333333333333333,2,2,4,0.5
677942,3B,27,11.494252873563218,23.64864864864865,28.662420382165607,1.972921997428167,0.3731343283582091,0.3731343283582091,8,2,10,0.8
624413,1B,31,10.989010989010989,21.341463414634152,25.423728813559315,-1.8036329869048664,0.3132530120481929,0.3012048192771085,3,1,4,0.75
514888,2B,36,11.627906976744185,23.489932885906036,28.301886792452834,-1.5812492460529437,0.328125,0.3125,2,1,3,0.6666666666666666
609280,DH,31,11.363636363636363,23.026315789473685,28.125,-0.9850446242174608,0.3174603174603174,0.3174603174603174,2,2,4,0.5
803011,LF,23,11.904761904761905,23.489932885906036,27.950310559006212,2.075124501628654,0.348314606741573,0.3370786516853932,14,2,16,0.875
668227,LF,31,11.494252873563218,23.17880794701987,27.950310559006205,2.2318623634693417,0.3124999999999999,0.3124999999999999,17,3,20,0.85
650333,2B,29,11.904761904761905,22.87581699346405,26.470588235294116,1.4694015139589318,0.3503649635036499,0.3357664233576642,7,0,7,1.0
683146,3B,26,11.904761904761905,23.026315789473685,27.108433734939766,1.154926221334979,0.3424657534246577,0.3424657534246577,5,1,6,0.8333333333333334
641343,1B,30,11.494252873563218,22.727272727272727,27.27272727272728,2.3658447299505085,0.4367816091954021,0.4367816091954021,7,1,8,0.875
683953,2B,23,11.764705882352942,23.809523809523814,28.125,3.228406719633033,0.3548387096774194,0.3548387096774194,14,3,17,0.8235294117647058
687637,RF,24,12.195121951219512,24.137931034482754,28.846153846153847,0.7308549285113828,0.5000000000000001,0.5000000000000001,4,3,7,0.5714285714285714
641355,LF,30,11.904761904761905,23.489932885906036,27.777777777777775,-0.4700383704129898,0.4482758620689654,0.4252873563218391,5,6,11,0.45454545454545453
701807,RF,23,12.048192771084338,23.972602739726028,28.846153846153847,3.1687085749269475,0.2947368421052631,0.2947368421052631,13,1,14,0.9285714285714286
605141,SS,33,11.494252873563218,22.580645161290324,26.94610778443114,-0.3731201447225294,0.36,0.36,1,2,3,0.3333333333333333
593428,SS,33,11.363636363636363,22.87581699346405,27.607361963190186,0.9251572335356112,0.290909090909091,0.2727272727272727,11,1,12,0.9166666666666666
703607,CF,22,12.195121951219512,24.822695035460992,30.20134228187919,0.8667455871192868,0.4324324324324323,0.4324324324324323,11,4,15,0.7333333333333333
676475,1B,27,11.235955056179774,21.875,26.16279069767442,-0.2732926211737761,0.3958333333333335,0.3958333333333335,3,0,3,1.0
671732,RF,25,11.904761904761905,23.178807947019862,26.946107784431145,-1.206348925937127,0.4181818181818181,0.3999999999999999,4,0,4,1.0
621439,CF,32,11.627906976744185,24.475524475524473,30.0,0.2081822610485152,0.4838709677419356,0.4354838709677417,3,0,3,1.0
676609,SS,29,11.363636363636363,23.333333333333332,28.301886792452827,-0.5337478703992404,0.4339622641509434,0.4339622641509434,16,7,23,0.6956521739130435
695506,RF,23,11.904761904761905,23.489932885906036,27.108433734939755,1.0827991320370285,0.4047619047619049,0.3928571428571429,3,0,3,1.0
694249,CF,24,12.048192771084338,23.972602739726028,28.846153846153847,0.2619918482757131,0.475,0.475,2,2,4,0.5
682998,RF,25,12.345679012345679,24.822695035460992,29.801324503311264,5.047477059018891,0.5257731958762886,0.5154639175257734,12,2,14,0.8571428571428571
694497,CF,23,12.195121951219512,24.137931034482754,29.605263157894736,3.2952236848348377,0.4509803921568626,0.4509803921568626,13,1,14,0.9285714285714286
650489,2B,29,11.904761904761905,23.489932885906036,28.662420382165607,0.2156968302489934,0.3157894736842107,0.3026315789473685,7,1,8,0.875
