"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,runner_runs_tot,runner_runs_per_run,pos_group
"McLain, Matt",680574,113,CIN,2B,26,73,,4.33,28.5,-0.992327111080897,-0.013593522069601328,IF
"Abrams, CJ",682928,120,WSH,SS,25,129,10.0,4.28,28.5,2.1354165326534824,0.01655361653219754,IF
"Stott, Bryson",681082,143,PHI,2B,28,131,2.0,4.26,28.5,5.023440635716369,0.038346875081804344,IF
"Benge, Carson",701807,121,NYM,RF,23,151,2.0,4.27,28.5,3.1687085749269475,0.02098482499951621,OF
"Steer, Spencer",668715,113,CIN,1B,28,121,1.0,4.44,28.5,2.0415604954574267,0.016872400788904354,IF
"De La Cruz, Elly",682829,113,CIN,SS,24,122,8.0,4.35,28.5,0.9628309630204324,0.00789205707393797,IF
"Volpe, Anthony",683011,147,NYY,SS,25,65,,4.33,28.5,-0.0857916029980545,-0.0013198708153546845,IF
"Langeliers, Shea",669127,133,ATH,C,28,121,,4.52,28.4,-0.2545256322173186,-0.002103517621630732,C
"Church, Nathan",701675,138,STL,CF,25,114,,4.26,28.4,0.4658675767253321,0.0040865576905730885,OF
"Langford, Wyatt",694671,140,TEX,LF,24,83,1.0,4.34,28.4,0.6609720640972747,0.007963518844545478,OF
"Cruz, Oneil",665833,134,PIT,CF,27,100,8.0,4.37,28.4,2.067138145214144,0.02067138145214144,OF
"Lopez, Otto",672640,146,MIA,SS,27,228,3.0,4.22,28.4,3.791980869036544,0.016631495039633966,IF
"Triolo, Jared",669707,134,PIT,SS,28,103,,4.42,28.4,1.1732578291154938,0.011390852709859163,IF
"Chisholm Jr., Jazz",665862,147,NYY,2B,28,94,7.0,4.24,28.4,4.1172868030422425,0.0438009234366196,IF
"Swanson, Dansby",621020,112,CHC,SS,32,146,1.0,4.33,28.4,4.204429860675354,0.02879746479914626,IF
"Hoerner, Nico",663538,112,CHC,2B,29,201,,4.36,28.3,3.587211965099906,0.017846825697014457,IF
"Vargas, Miguel",678246,145,CWS,3B,26,124,,4.39,28.3,0.8231634135858403,0.006638414625692261,IF
"Bazzana, Travis",683953,114,CLE,2B,23,108,3.0,4.24,28.3,3.228406719633033,0.02989265481141697,IF
"Vierling, Matt",663837,116,DET,CF,29,93,1.0,4.5,28.3,-0.1398013578754217,-0.001503240407262599,OF
"Moniak, Mickey",666160,115,COL,LF,28,73,1.0,4.37,28.3,1.0829983515490034,0.014835593856835663,OF
"Hernández, Teoscar",606192,119,LAD,LF,33,95,1.0,4.4,28.3,0.0991636900890581,0.0010438283167269274,OF
"Winn, Masyn",691026,138,STL,SS,24,137,3.0,4.35,28.3,1.5372853922181224,0.011221061257066588,IF
"Alexander, Blaze",677942,110,BAL,3B,27,86,3.0,4.43,28.3,1.972921997428167,0.02294095345846706,IF
"Pages, Andy",681624,119,LAD,CF,25,153,,4.38,28.3,0.3212689706387424,0.0020997971937172706,OF
"Henderson, Gunnar",683002,110,BAL,SS,25,169,2.0,4.25,28.3,1.7866109230269336,0.01057166226643156,IF
"McGonigle, Kevin",805808,116,DET,SS,21,155,3.0,4.35,28.2,4.049146061787818,0.026123522979276243,IF
"Edwards, Xavier",669364,146,MIA,2B,26,178,4.0,4.23,28.2,2.0067142821000568,0.01127367574213515,IF
"Keith, Colt",690993,116,DET,3B,24,109,1.0,4.32,28.2,2.013529487478741,0.018472747591548083,IF
"Pérez, Wenceel",672761,116,DET,RF,26,69,,4.28,28.2,1.2848781131599782,0.01862142192985476,OF
"Nimmo, Brandon",607043,140,TEX,RF,33,155,7.0,4.22,28.2,0.5365835959899203,0.003461829651547873,OF
"Loftin, Nick",679845,118,KC,3B,27,114,,4.53,28.2,0.5531040875501309,0.004851790241667814,IF
"Realmuto, J.T.",592663,143,PHI,C,35,105,,4.44,28.2,0.7086701018612092,0.006749239065344849,C
"Antonacci, Sam",803011,145,CWS,LF,23,146,,4.33,28.2,2.075124501628654,0.01421318151800448,OF
"Castro, Willi",650489,115,COL,2B,29,107,1.0,4.26,28.2,0.2156968302489934,0.0020158582266261065,IF
"Marsh, Brandon",669016,143,PHI,LF,28,125,,4.39,28.1,1.760922197738549,0.014087377581908391,OF
"Williamson, Ben",810938,139,TB,2B,25,116,,4.5,28.1,1.3049234361693605,0.011249339966977245,IF
"Abreu, Wilyer",677800,111,BOS,RF,27,135,3.0,4.29,28.1,-1.0827949640072785,-0.008020703437090953,OF
"Reynolds, Bryan",668804,134,PIT,LF,31,157,,4.38,28.1,0.9177273671405592,0.005845397242933498,OF
"Semien, Marcus",543760,121,NYM,2B,35,103,,4.42,28.1,-0.4006039207002889,-0.003889358453400863,IF
"Chapman, Matt",656305,137,SF,3B,33,133,,4.44,28.1,-0.6607236434067413,-0.004967846942907829,IF
"Caballero, José",676609,147,NYY,SS,29,116,,4.27,28.1,-0.5337478703992404,-0.004601274744821038,IF
"Adell, Jo",666176,108,LAA,RF,27,145,,4.53,28.1,0.0993873410855147,0.000685429938520791,OF
"Schmitt, Casey",669477,137,SF,LF,27,114,,4.53,28.0,0.4102342731594612,0.0035985462557847473,OF
"Durbin, Caleb",702332,111,BOS,3B,26,165,,4.42,28.0,0.999041927230204,0.006054799558970933,IF
"Laureano, Ramón",657656,135,SD,LF,31,59,,4.3,28.0,0.3408092906655945,0.00577642865534906,OF
"Tovar, Ezequiel",678662,115,COL,SS,24,112,,4.41,27.9,0.6120873641523812,0.0054650657513605466,IF
"Clement, Ernie",676391,141,TOR,2B,30,185,1.0,4.35,27.9,-0.2707735804461219,-0.0014636409753844425,IF
"Cowser, Colton",681297,110,BAL,CF,26,65,,4.23,27.9,1.283896514250578,0.019752254065393507,OF
"McKinstry, Zach",656716,116,DET,2B,31,107,,4.31,27.9,-2.242593144767769,-0.020958814437081953,IF
"Young, Cole",702284,136,SEA,2B,22,146,,4.3,27.9,-0.6940994228512946,-0.004754105635967771,IF
"Happ, Ian",664023,112,CHC,LF,31,138,,4.38,27.9,-0.6763476175477783,-0.004901069692375205,OF
"Myers, Dane",667472,113,CIN,CF,30,54,,4.42,27.9,1.842133445500963,0.03411358232409191,OF
"Clemens, Kody",665019,142,MIN,1B,30,108,1.0,4.32,27.9,0.8196502221664195,0.007589353908948328,IF
"Mayo, Coby",691723,110,BAL,3B,24,74,,4.48,27.9,0.9839731190902776,0.013296934041760508,IF
"Mullins, Cedric",656775,139,TB,CF,31,71,3.0,4.34,27.9,-0.8768138482984814,-0.012349490821105372,OF
"Walls, Taylor",670764,139,TB,SS,29,96,,4.42,27.9,2.339160516528405,0.02436625538050422,IF
"Riley, Austin",663586,144,ATL,3B,29,127,,4.55,27.8,1.0350386455329983,0.008149910594748018,IF
"Marsee, Jakob",805300,146,MIA,CF,25,110,,4.38,27.8,-0.3123160295206342,-0.0028392366320057656,OF
"Call, Alex",669743,119,LAD,LF,31,64,,4.35,27.8,-0.0142597118971812,-0.00022280799839345626,OF
"Jensen, Carter",695600,118,KC,C,22,112,,4.36,27.8,0.2221984057546351,0.0019839143370949564,C
"Suzuki, Seiya",673548,112,CHC,RF,31,117,,4.4,27.8,-2.428067785805122,-0.020752716117992495,OF
"Neto, Zach",687263,108,LAA,SS,25,119,,4.39,27.8,-1.1366625315983363,-0.009551785979817953,IF
"Lewis, Royce",668904,142,MIN,1B,27,91,,4.32,27.8,1.495740834714784,0.016436712469393232,IF
"Martin, Austin",668885,142,MIN,RF,27,124,,4.49,27.8,-0.1743686791757311,-0.0014061990256107346,OF
"Lopez, Nicky",670032,140,TEX,2B,31,86,,4.21,27.8,0.9931300590418372,0.011548023942346943,IF
"Tena, José",677588,120,WSH,DH,25,86,1.0,4.25,27.7,0.498164576861838,0.005792611358858581,DH
"Adames, Willy",642715,137,SF,SS,30,116,,4.43,27.7,-2.1090947251727914,-0.018181851079075786,IF
"Ramírez, José",608070,114,CLE,3B,33,110,,4.36,27.7,3.020593926679183,0.027459944787992574,IF
"Giménez, Andrés",665926,141,TOR,SS,27,115,1.0,4.3,27.7,-0.0503361092428961,-0.00043770529776431395,IF
"Freeman, Tyler",671289,115,COL,RF,27,107,,4.5,27.7,-2.4019949547772965,-0.02244855097922707,OF
"Martínez, Angel",682657,114,CLE,LF,24,96,,4.4,27.7,0.5406632235381519,0.0056319085785224154,OF
"Garcia, Maikel",672580,118,KC,3B,26,117,,4.5,27.7,0.4888293926067688,0.004178028996639049,IF
"Ohtani, Shohei",660271,119,LAD,DH,31,134,,4.23,27.6,0.6150709885911624,0.00459008200441166,DH
"Harris II, Michael",671739,144,ATL,CF,25,165,1.0,4.28,27.6,-2.0272410764357205,-0.012286309554155881,OF
"Schneemann, Daniel",682177,114,CLE,3B,29,87,,4.42,27.6,-0.8510066508732048,-0.009781685642220745,IF
"Wetherholt, JJ",802139,138,STL,2B,23,164,,4.24,27.6,3.372144127773254,0.020561854437641792,IF
"Collins, Isaac",686555,118,KC,LF,28,120,1.0,4.45,27.5,-2.9775179529435487,-0.024812649607862905,OF
"Altuve, Jose",514888,117,HOU,2B,36,138,8.0,4.36,27.5,-1.5812492460529437,-0.011458327869948867,IF
"Bellinger, Cody",641355,147,NYY,LF,30,132,,4.2,27.5,-0.4700383704129898,-0.003560896745552953,OF
"Kiner-Falefa, Isiah",643396,111,BOS,2B,31,57,,4.43,27.4,1.577262706025179,0.027671275544301384,IF
"Dingler, Dillon",693307,116,DET,C,27,145,,4.51,27.4,0.5026978929898924,0.0034668820206199477,C
"Ward, Taylor",621493,110,BAL,LF,32,155,,4.5,27.4,-4.06974397674265,-0.026256412753178388,OF
"Andujar, Miguel",609280,135,SD,DH,31,124,,4.46,27.3,-0.9850446242174608,-0.007943908259818232,DH
"Rushing, Dalton",687221,119,LAD,C,25,65,,4.45,27.3,0.6386719511286153,0.00982572232505562,C
"Rocchio, Brayan",677587,114,CLE,SS,25,155,,4.5,27.3,-0.8765276601876305,-0.005655017162500842,IF
"Goodman, Hunter",696100,115,COL,C,26,94,,4.55,27.3,-2.9964891553649107,-0.03187754420600969,C
"Varsho, Daulton",662139,141,TOR,CF,29,128,,4.31,27.3,0.2256984124869434,0.0017632688475542452,OF
"Gilbert, Drew",687551,137,SF,CF,25,92,,4.35,27.3,-0.3068507940909903,-0.0033353347183803293,OF
"Lee, Jung Hoo",808982,137,SF,RF,27,201,,4.32,27.3,0.6043076534870504,0.003006505738741544,OF
"Wood, James",695578,120,WSH,RF,23,146,4.0,4.28,27.3,1.2033366533393597,0.008242031872187396,OF
"Acuña Jr., Ronald",660670,144,ATL,RF,28,62,1.0,4.42,27.3,0.7214799871124814,0.011636773985685184,OF
"Meidroth, Chase",805367,145,CWS,2B,24,176,,4.44,27.3,0.6509655833272215,0.003698668087086486,IF
"Contreras, Willson",575929,111,BOS,1B,34,117,,4.59,27.2,-2.204715509039011,-0.018843722299478727,IF
"Yelich, Christian",592885,158,MIL,DH,34,125,,4.45,27.2,0.6272650508498188,0.00501812040679855,DH
"Harper, Bryce",547180,143,PHI,1B,33,146,,4.48,27.2,-1.5452256439579262,-0.010583737287383056,IF
"Burger, Jake",669394,140,TEX,1B,30,132,,4.49,27.2,-0.2965846772277779,-0.002246853615361954,IF
"Yastrzemski, Mike",573262,144,ATL,LF,35,87,,4.41,27.1,0.7503229619634896,0.008624401861649306,OF
"Ramos, Heliot",671218,137,SF,LF,26,119,,4.52,27.2,0.5977349593318642,0.00502298285152827,OF
"Soderstrom, Tyler",691016,133,ATH,LF,24,151,,4.41,27.1,-0.3800765363301132,-0.002517063154504061,OF
"Vargas, Ildemaro",545121,109,AZ,1B,34,135,1.0,4.43,27.1,0.8252796242414094,0.006113182401788218,IF
"Albies, Ozzie",645277,144,ATL,2B,29,164,,4.29,27.0,-0.5961491958059707,-0.003635056071987626,IF
"Bogaerts, Xander",593428,135,SD,SS,33,164,,4.48,27.0,0.9251572335356112,0.005641202643509824,IF
