"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,entity_name,team_name,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,runner_runs_per_run
"Bolte, Henry",703607,133,ATH,CF,22,100,64.0,4.16,30.6,"Bolte, Henry",ATH,2026,2026,0.8667455871192868,0.499686261566009,0.3670593255532778,32,1.3970542689327587,0.0,-0.8973680073667496,16,0.9081759360524436,-0.5411166104991657,6.637315745278402,-1.5713308853836994,16,0.008667455871192869
"Mateo, Jorge",622761,144,ATL,SS,31,51,28.0,4.12,30.3,"Mateo, Jorge",ATL,2026,2026,1.2515732680877507,0.4985749331159877,0.7529983349717629,32,1.4518548384997574,-0.8005070960478038,-0.1527728093359654,21,0.4049927920141381,0.3480055429576249,3.880988961503606,1.680050723174865,11,0.024540652315446092
"Witt Jr., Bobby",677951,118,KC,SS,26,144,71.0,4.16,30.3,"Witt Jr., Bobby",KC,2026,2026,4.384254221165792,1.6837778594098023,2.700476361755989,71,3.0174928619926966,-0.793909248615667,-0.5398057539672272,39,1.6051924573887155,1.0952839043672733,11.671960985797451,5.12330425047928,32,0.03044620986920689
"Griffin, Konnor",804606,134,PIT,SS,20,108,48.0,4.27,29.9,"Griffin, Konnor",PIT,2026,2026,4.839193663009572,2.5311375612071565,2.308056101802416,41,3.013100049353093,0.0,-0.4819624881459368,25,2.156229514581625,0.1518265872207907,10.69672074553698,0.6492180407083428,16,0.044807348731570114
"McCarthy, Jake",664983,115,COL,CF,28,168,63.0,4.18,29.9,"McCarthy, Jake",COL,2026,2026,2.111682978448357,2.3955493916029127,-0.2838664131545556,63,4.927666645206626,-2.3026869492883284,-0.2294303043153836,41,-0.1966141249766098,-0.0872522881779453,5.0960562381678,0.6221628950301676,22,0.012569541538383078
"Acuña, Luisangel",682668,145,CWS,SS,24,88,38.0,4.21,29.8,"Acuña, Luisangel",CWS,2026,2026,1.1353966773913056,0.2255734641979593,0.909823213193346,30,1.2984646144720269,-0.9272877588799284,-0.1456033913941389,12,0.1337453906280027,0.776077822565343,4.196552159376175,3.63714378865606,18,0.012902234970355746
"Mitchell, Garrett",669003,158,MIL,CF,27,142,48.0,4.08,29.8,"Mitchell, Garrett",MIL,2026,2026,1.9733776298753067,1.9670633354311675,0.0063142944441392,43,2.602905579679529,0.0,-0.6358422442483609,35,0.0925402912946868,-0.0862259968505473,1.2118706537558277,-0.6682041418583206,8,0.01389702556250216
"Buxton, Byron",621439,142,MIN,CF,32,98,33.0,4.14,29.8,"Buxton, Byron",MIN,2026,2026,0.2081822610485152,-0.5492760302085853,0.7574582912571005,34,2.333172851722089,-2.342818718415696,-0.5396301635149783,30,0.8241388701668161,-0.0666805789097154,2.6412096386593147,-0.5474823800435971,4,0.0021243087862093386
"Turner, Trea",607208,143,PHI,SS,33,155,59.0,4.26,29.8,"Turner, Trea",PHI,2026,2026,2.75591798385418,0.7961059539907578,1.959812029863422,49,1.9822053455155737,0.0,-1.186099391524816,32,1.4454226666164476,0.514389363246975,6.422291260698944,2.28702691645271,17,0.017780116024865678
"Straw, Myles",664702,141,TOR,CF,31,72,26.0,4.16,29.7,"Straw, Myles",TOR,2026,2026,0.7565265385640628,0.558976283534258,0.1975502550298048,22,1.757898452779603,-0.7549125990650656,-0.4440095701802795,17,0.4980782304987313,-0.3005279754689264,1.385013268590392,-0.351120218478886,5,0.010507313035611983
