"player_id","entity_name","team_name","start_year","end_year","runner_runs_tot","runner_runs_XB","runner_runs_SBX","N_runner_moved","runner_runs_XB_swipe","runner_runs_XB_snipe","runner_runs_XB_freeze","N_runner_moved_XB","runner_runs_SB2","runner_runs_SB3","simple_stolen_on_running_act_SB2","simple_stolen_on_running_act_SB3","N_runner_moved_SBX"
802415,"Simpson, Chandler","TB",2026,2026,6.172686974144408,4.2614325629668555,1.911254411177553,76,5.3167752073446986,-0.7758485777832864,-0.27949406659455706,46,1.8883427701250128,0.022911641052541037,11.754233881003612,2.142618202930394,30
683083,"Nuñez, Nasim","WSH",2026,2026,5.68525144583643,0.9767959113040056,4.708455534532424,54,2.3095036085580536,-0.7828933748042193,-0.5498143224498289,20,3.404859044181651,1.3035964903507742,18.22976282973394,6.36408647433599,34
682998,"Carroll, Corbin","AZ",2026,2026,5.047477059018891,3.9977193427446993,1.0497577162741918,67,5.345888702512723,-0.7632792285778593,-0.5848901311901651,51,0.2922480885637582,0.7575096277104337,3.2080794719675225,3.4957746715728955,16
681082,"Stott, Bryson","PHI",2026,2026,5.023440635716369,2.4632002997477858,2.560240335968584,48,3.3608386471909504,0,-0.8976383474431654,34,2.1919342986097723,0.3683060373588117,9.192813430937704,1.5382679207013483,14
804606,"Griffin, Konnor","PIT",2026,2026,4.839193663009572,2.5311375612071565,2.308056101802416,41,3.013100049353093,0,-0.48196248814593684,25,2.156229514581625,0.15182658722079073,10.696720745536979,0.6492180407083428,16
677951,"Witt Jr., Bobby","KC",2026,2026,4.384254221165792,1.6837778594098025,2.700476361755989,71,3.0174928619926966,-0.793909248615667,-0.5398057539672272,39,1.6051924573887155,1.0952839043672733,11.671960985797453,5.12330425047928,32
621020,"Swanson, Dansby","CHC",2026,2026,4.204429860675354,2.1830238488679887,2.0214060118073656,51,3.505579785565252,-0.7607358713760749,-0.5618200653211874,40,1.89061560967474,0.13079040213262466,7.594156452777328,0.31939008732016966,11
665923,"Ruiz, Esteury","MIA",2026,2026,4.188248901432665,1.3277270918036623,2.8605218096290024,42,1.6178090980017417,0,-0.2900820061980797,17,1.3248905403253015,1.5356312693037013,9.592528695185065,7.537816696250762,25
665862,"Chisholm Jr., Jazz","NYY",2026,2026,4.1172868030422425,1.5070733155128948,2.610213487529348,52,2.079292827650027,0,-0.572219512137132,24,0.7771277406050197,1.8330857469243282,6.504861158632635,8.90589230404244,28
701538,"Merrill, Jackson","SD",2026,2026,4.103120099255894,2.121506610269738,1.981613488986156,47,2.5716529843631406,0,-0.4501463740934018,29,1.9286577905462217,0.05295569843993476,9.957939379506518,0.06887811025536439,18
805808,"McGonigle, Kevin","DET",2026,2026,4.049146061787818,2.7980085747822825,1.2511374870055352,62,5.18155106490818,-0.7548271163113343,-1.6287153738145643,53,1.393160426779508,-0.14202293977397268,2.9444022373928362,-0.9499790422268544,9
672640,"Lopez, Otto","MIA",2026,2026,3.7919808690365437,1.8061828962235666,1.985797972812977,81,4.196633965012405,-1.6332120985037508,-0.757238970285088,56,1.511153767293564,0.4746442055194131,9.79353934416,2.0131246341373266,25
691718,"Crow-Armstrong, Pete","CHC",2026,2026,3.7198758358755777,2.158270001990701,1.5616058338848768,62,2.7544995877472953,0,-0.5962295857565943,33,1.2541018466937628,0.307503987191114,10.23887320462008,2.4044398941986747,29
807712,"Keaschall, Luke","MIN",2026,2026,3.634384589788497,2.836653313566888,0.7977312762216089,48,3.590634799458236,0,-0.7539814858913458,35,0.7465105607881186,0.05122071543348974,3.7652669034449313,0.05152445123479526,13
663538,"Hoerner, Nico","CHC",2026,2026,3.587211965099906,1.1769612864672325,2.4102506786326736,55,2.8829807779374526,-0.7863368027965094,-0.9196826886737103,38,2.115773334340181,0.29447734429249245,8.789099264042468,0.9218446729567907,17
802139,"Wetherholt, JJ","STL",2026,2026,3.372144127773254,1.4068084802845735,1.96533564748868,47,2.9476137320417366,0,-1.5408052517571638,36,1.8834531141495348,0.08188253333914536,6.202125324442269,0.13932408719743475,11
694497,"Carter, Evan","TEX",2026,2026,3.2952236848348377,1.0384429960960542,2.256780688738784,38,1.7610029091358943,0,-0.72255991303984,23,1.7149809424637004,0.5417997462750834,7.66393703658334,2.5451336662546495,15
683953,"Bazzana, Travis","CLE",2026,2026,3.228406719633033,2.144037272861363,1.0843694467716702,39,2.704235224551113,0,-0.5601979516897506,22,0.22301833179303487,0.8613511149786354,2.5531109111500827,4.0364489339814025,17
701807,"Benge, Carson","NYM",2026,2026,3.1687085749269475,1.3147891901700417,1.8539193847569058,42,2.367694463706533,0,-1.0529052735364912,28,1.7434499398604941,0.11046944489641179,6.665747446050736,0.3732813679195891,14
608070,"Ramírez, José","CLE",2026,2026,3.020593926679183,0.9089903584528728,2.11160356822631,56,2.2351737289427898,-0.7645676249565739,-0.5616157455333419,34,1.2208706638577191,0.8907329043685903,8.003776479013982,4.290952158091186,22
607208,"Turner, Trea","PHI",2026,2026,2.7559179838541796,0.7961059539907578,1.959812029863422,49,1.9822053455155737,0,-1.1860993915248161,32,1.4454226666164476,0.514389363246975,6.422291260698944,2.28702691645271,17
665750,"Taveras, Leody","BAL",2026,2026,2.378928740963404,2.098414771983595,0.2805139689798094,37,2.7875834771339685,0,-0.6891687051503732,29,0.07217642278376482,0.2083375461960448,1.1403810583855045,0.7846096004432175,8
641343,"Bauers, Jake","MIL",2026,2026,2.3658447299505085,2.003445588952679,0.3623991409978293,47,3.078440917377268,0,-1.074995328424588,38,0.4422518290857532,-0.079852688087924,1.8331331227582743,0.6552079923313915,9
670764,"Walls, Taylor","TB",2026,2026,2.339160516528405,0.6564368251850283,1.6827236913433767,53,2.818933266801382,-1.554667223316906,-0.6078292182994468,37,0.7604747612752518,0.9222489300681247,4.897400821299664,4.450760115207317,16
680776,"Duran, Jarren","BOS",2026,2026,2.2623035205588877,1.488259670451534,0.7740438501073534,42,2.679589960372495,-0.7513828784699793,-0.4399474114509814,26,0.8338257123804742,-0.05978186227312061,5.58752829910227,-0.4511689392182532,16
668227,"Arozarena, Randy","SEA",2026,2026,2.2318623634693417,0.6907216357796807,1.5411407276896611,50,2.1359276941333367,0,-1.4452060583536563,30,1.2838894103452596,0.2572513173444006,6.526344922417594,0.9031878317271516,20
696285,"Young, Jacob","WSH",2026,2026,2.156965539234646,1.885011268797221,0.27195427043742476,37,2.057248939334903,0,-0.17223767053768202,25,-0.09513355992265254,0.36708783036007697,1.5604846326169226,1.6218319588366956,12
682928,"Abrams, CJ","WSH",2026,2026,2.1354165326534824,0.5363230506986967,1.5990934819547857,59,3.0330617981536063,-0.8377701082351038,-1.658968639219805,40,1.4870063650901582,0.11208711686462712,8.784018799278224,0.33932396047414853,19
664983,"McCarthy, Jake","COL",2026,2026,2.111682978448357,2.3955493916029127,-0.28386641315455563,63,4.927666645206626,-2.3026869492883284,-0.2294303043153836,41,-0.19661412497660988,-0.08725228817794538,5.0960562381678,0.6221628950301676,22
803011,"Antonacci, Sam","CWS",2026,2026,2.075124501628654,0.8321836064561251,1.2429408951725287,48,2.8246069016681443,-0.8158933243374968,-1.1765299708745227,31,1.1315127712714854,0.11142812390104319,6.465684536387527,0.3012505806487528,17
671976,"Peters, Tristan","CWS",2026,2026,2.0732621282046027,2.2590233430878355,-0.18576121488323302,34,2.447203814015806,0,-0.18818047092796936,27,0.785248107650671,-0.9710093225339037,1.8344155852036594,-2.55618915042449,7
665833,"Cruz, Oneil","PIT",2026,2026,2.067138145214144,0.22126579501541177,1.8458723501987324,46,2.1466070545163736,-1.51712907929861,-0.4082121802023515,23,1.7289209175342366,0.11695143266449526,11.410894673737147,0.32658799523189713,23
680869,"Gelof, Zack","ATH",2026,2026,2.0665375858743893,0.9244996906791625,1.1420378951952266,32,2.0326087756400635,-0.7595835222439729,-0.3485255627169275,26,1.0039583080946464,0.13807958710058005,3.4393595973039193,0.5897447506487961,6
668715,"Steer, Spencer","CIN",2026,2026,2.0415604954574267,1.5143062458503371,0.5272542496070894,28,1.9185486622771541,0,-0.4042424164268169,26,0.452802552164576,0.07445169744251282,-0.7477507816797709,-0.24645835934993235,2
665161,"Peña, Jeremy","HOU",2026,2026,2.0365327710604793,0.9235592359305447,1.1129735351299346,37,2.545351940053297,-0.9863296467611036,-0.635463057361649,27,0.8925082156860819,0.22046531944385278,3.4323100852638095,0.5944210581305301,10
666152,"Hamilton, David","MIL",2026,2026,2.028290021829986,0.8369892296023866,1.191300792227599,33,1.3067782491248923,0,-0.4697890195225058,17,0.628127161002404,0.5631736312251949,5.2690514922775,2.7368750813548677,16
690993,"Keith, Colt","DET",2026,2026,2.013529487478741,1.6038809192434254,0.4096485682353158,32,2.123192386164403,0,-0.5193114669209773,29,0.4586902666671121,-0.04904169843179626,0.596797780411749,-0.31236794406594176,3
669364,"Edwards, Xavier","MIA",2026,2026,2.0067142821000568,0.7878542423034878,1.218860039796569,55,3.116628710030164,-1.518834292567587,-0.8099401751590884,40,1.3378025883200155,-0.11894254852344653,6.3705005741786564,-0.8251981826361644,15
669003,"Mitchell, Garrett","MIL",2026,2026,1.9733776298753067,1.9670633354311675,0.00631429444413923,43,2.602905579679529,0,-0.6358422442483609,35,0.09254029129468683,-0.08622599685054738,1.2118706537558275,-0.6682041418583206,8
677942,"Alexander, Blaze","BAL",2026,2026,1.972921997428167,1.5638108207336952,0.4091111766944719,35,2.161378330489458,0,-0.5975675097557629,25,0.47960878289155995,-0.07049760619708813,3.1555999383413074,-0.5926958487612912,10
667472,"Myers, Dane","CIN",2026,2026,1.842133445500963,0.4712613916067651,1.3708720538941979,22,0.895065477647231,0,-0.42380408604046577,14,1.4548673601754127,-0.08399530628121485,6.296093498784922,-0.5232024208123506,8
683002,"Henderson, Gunnar","BAL",2026,2026,1.7866109230269336,2.7172461850618848,-0.9306352620349513,42,3.2344070000593397,0,-0.5171608149974554,32,-1.0440474917704856,0.11341222973553482,-3.191579216995137,0.2986425596285004,10
678882,"Rafaela, Ceddanne","BOS",2026,2026,1.7615605651559076,2.924347217859859,-1.1627866527039514,58,4.309251968737698,-0.7789636888618564,-0.6059410620159815,39,-0.7251901150581582,-0.4375965376457931,1.9580108342080575,-1.1464825391703153,19
669016,"Marsh, Brandon","PHI",2026,2026,1.760922197738549,0.9342641364423099,0.826658061296239,34,1.6417796426973714,0,-0.7075155062550617,25,0.9859101933807172,-0.15925213208447905,3.5105875481967965,-1.017238017335749,9
686611,"Crews, Dylan","WSH",2026,2026,1.6814223656180047,0.49654843823556993,1.184873927382435,24,1.2052280454371964,0,-0.7086796072016264,18,1.2211443208346193,-0.036270393452184004,4.7892888741915085,-0.3194655649951523,6
672724,"Peraza, Oswald","LAA",2026,2026,1.6290110612313227,0.906004725719767,0.7230063355115557,32,1.5611846059223888,0,-0.6551798802026216,18,0.14263278631602866,0.5803735491955271,2.794725783696762,2.6680248933464727,14
691023,"Walker, Jordan","STL",2026,2026,1.6076575544832736,0.5958964098267782,1.0117611446564956,52,2.3885965341735313,0,-1.7927001243467537,36,1.5970646957076968,-0.5853035510512015,8.202912608527873,-1.96050525277684,16
643396,"Kiner-Falefa, Isiah","BOS",2026,2026,1.577262706025179,1.0297838758340008,0.5474788301911783,22,1.3086931366132017,0,-0.27890926077920114,12,0.8321110747713387,-0.2846322445801605,3.998134720350383,-0.22501116989408126,10
691026,"Winn, Masyn","STL",2026,2026,1.5372853922181224,0.8785840886959039,0.6587013035222186,30,1.6392061951861996,0,-0.7606221064902959,25,0.5578886613100598,0.10081264221215895,0.21059335389993084,0.2684334884186279,5
668904,"Lewis, Royce","MIN",2026,2026,1.495740834714784,0.9436349133482911,0.552105921366493,31,1.3150506035262086,0,-0.3714156901779174,21,0.2546079650516738,0.29749795631481935,2.7186453296363235,1.3694983287999591,10
