"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Taylor, Samad",669392,135,"SD","LF",27,"29","2","4.24","29.2"
"Peña, Jeremy",665161,117,"HOU","SS",28,"104","15","4.35","29.2"
"Lockridge, Brandon",663604,158,"MIL","LF",29,"43","7","4.30","29.2"
"Marte, Noelvi",682622,113,"CIN","RF",24,"66","6","4.36","29.2"
"Walker, Jordan",691023,138,"STL","RF",24,"156","21","4.35","29.2"
"Thomas, Lane",657041,118,"KC","CF",30,"108","15","4.38","29.1"
"Robert Jr., Luis",673357,121,"NYM","CF",28,"50","4","4.34","29.1"
"Rafaela, Ceddanne",678882,111,"BOS","CF",25,"179","21","4.11","29.1"
"Duran, Jarren",680776,111,"BOS","LF",29,"128","9","4.22","29.1"
"Ortiz, Joey",687401,158,"MIL","SS",27,"107","10","4.33","29.1"
"Hicklen, Brewer",676551,144,"ATL","RF",30,"14","1",,"29.0"
"Malgeri, Ben",701162,116,"DET","RF",26,"20","2","4.26","29.0"
"Shaw, Matt",807713,112,"CHC","RF",24,"52","4","4.31","29.0"
"Taylor, Tyrone",621438,121,"NYM","LF",32,"54","3","4.46","29.0"
"Cheng, Tsung-Che",691907,111,"BOS","SS",24,"14","1",,"29.0"
"DeLuca, Jonny",676356,139,"TB","RF",27,"86","19","4.28","29.0"
"Duran, Ezequiel",677649,140,"TEX","SS",27,"146","12","4.26","29.0"
"Beavers, Dylan",687637,110,"BAL","RF",24,"63","1","4.23","29.0"
"Taveras, Leody",665750,110,"BAL","CF",27,"113","30","4.28","29.0"
"Merrill, Jackson",701538,135,"SD","CF",23,"135","11","4.24","28.9"
"Tatis Jr., Fernando",665487,135,"SD","RF",27,"173","20","4.32","28.9"
"Waldschmidt, Ryan",814439,109,"AZ","CF",23,"56","1","4.31","28.9"
"Wiemer, Joey",686894,120,"WSH","RF",27,"31","1","4.27","28.9"
"Carter, Evan",694497,140,"TEX","CF",23,"91","28","4.16","28.9"
"Jones, Spencer",682987,147,"NYY","CF",25,"20","5",,"28.8"
"Rodríguez, Julio",677594,136,"SEA","CF",25,"137","21","4.33","28.8"
"Gonzales, Nick",693304,134,"PIT","3B",27,"187","7","4.33","28.8"
"Meckler, Wade",685133,108,"LAA","LF",26,"68","13","4.12","28.8"
"Lawlar, Jordan",691783,109,"AZ","CF",23,"10","3",,"28.8"
"Keaschall, Luke",807712,142,"MIN","2B",23,"157","1","4.25","28.8"
"Carrigg, Cole",694249,115,"COL","CF",24,"57","4","4.14","28.8"
"Benson, Will",666181,113,"CIN","RF",28,"24","6",,"28.8"
"Kim, Hyeseong",808975,119,"LAD","SS",27,"52",,"4.09","28.8"
"Gelof, Zack",680869,133,"ATH","3B",26,"93","6","4.36","28.8"
"Pratt, Cooper",806198,158,"MIL","SS",21,"46","1","4.41","28.7"
"Doyle, Brenton",686668,115,"COL","CF",28,"42","7","4.33","28.7"
"Sanoja, Javier",691594,146,"MIA","3B",23,"142","17","4.23","28.7"
"Chourio, Jackson",694192,158,"MIL","LF",22,"118","27","4.22","28.7"
